model_id,policy,group,n_nonhate_mentions,group_fpr,background_fpr,fpr_gap,mean_score
bertimbau_pt_broad_s42,broad,gender,61,0.2295,0.1305,0.099,0.2284
bertimbau_pt_broad_s42,broad,sexual_orientation,6,0.5,0.1305,0.3695,0.4026
bertimbau_pt_broad_s42,broad,race_ethnicity,41,0.1463,0.1305,0.0158,0.147
bertimbau_pt_broad_s42,broad,religion,2,0.0,0.1305,-0.1305,0.1196
bertimbau_pt_broad_s42,broad,nationality_immigration,16,0.6875,0.1305,0.557,0.6031
bertimbau_pt_broad_s42,broad,disability,1,0.0,0.1305,-0.1305,0.0032
bertweet_en_broad_s42,broad,gender,121,0.2231,0.0897,0.1334,0.3691
bertweet_en_broad_s42,broad,sexual_orientation,60,0.3833,0.0897,0.2936,0.4789
bertweet_en_broad_s42,broad,race_ethnicity,55,0.2,0.0897,0.1103,0.3291
bertweet_en_broad_s42,broad,religion,80,0.2,0.0897,0.1103,0.2655
bertweet_en_broad_s42,broad,nationality_immigration,8,0.125,0.0897,0.0353,0.3743
bertweet_en_broad_s42,broad,disability,9,0.3333,0.0897,0.2436,0.3504
sbert_lgbm_broad_s42,broad,gender,182,0.4396,0.2217,0.2178,0.4331
sbert_lgbm_broad_s42,broad,sexual_orientation,66,0.6515,0.2217,0.4298,0.5558
sbert_lgbm_broad_s42,broad,race_ethnicity,96,0.3854,0.2217,0.1637,0.3818
sbert_lgbm_broad_s42,broad,religion,82,0.4634,0.2217,0.2417,0.4502
sbert_lgbm_broad_s42,broad,nationality_immigration,24,0.4583,0.2217,0.2366,0.4004
sbert_lgbm_broad_s42,broad,disability,10,0.5,0.2217,0.2783,0.3847
sbert_logreg_broad_s42,broad,gender,182,0.4396,0.2109,0.2287,0.5166
sbert_logreg_broad_s42,broad,sexual_orientation,66,0.7121,0.2109,0.5012,0.633
sbert_logreg_broad_s42,broad,race_ethnicity,96,0.4271,0.2109,0.2162,0.5033
sbert_logreg_broad_s42,broad,religion,82,0.4756,0.2109,0.2647,0.5004
sbert_logreg_broad_s42,broad,nationality_immigration,24,0.5,0.2109,0.2891,0.5171
sbert_logreg_broad_s42,broad,disability,10,0.4,0.2109,0.1891,0.495
tfidf_lgbm_broad_s42,broad,gender,182,0.3681,0.141,0.2271,0.4942
tfidf_lgbm_broad_s42,broad,sexual_orientation,66,0.6667,0.141,0.5256,0.6112
