model_id,policy,group,n_nonhate_mentions,group_fpr,background_fpr,fpr_gap,mean_score
bertimbau_pt_strict_s42,strict,gender,71,0.338,0.0829,0.2551,0.3336
bertimbau_pt_strict_s42,strict,sexual_orientation,4,0.5,0.0829,0.4171,0.5239
bertimbau_pt_strict_s42,strict,race_ethnicity,27,0.037,0.0829,-0.0459,0.0377
bertimbau_pt_strict_s42,strict,religion,4,0.5,0.0829,0.4171,0.5324
bertimbau_pt_strict_s42,strict,nationality_immigration,19,0.3158,0.0829,0.2329,0.3155
bertimbau_pt_strict_s42,strict,disability,2,0.0,0.0829,-0.0829,0.1765
bertweet_en_strict_s42,strict,gender,236,0.072,0.0441,0.028,0.0751
bertweet_en_strict_s42,strict,sexual_orientation,113,0.115,0.0441,0.071,0.1138
bertweet_en_strict_s42,strict,race_ethnicity,84,0.0595,0.0441,0.0155,0.0626
bertweet_en_strict_s42,strict,religion,141,0.1348,0.0441,0.0907,0.1362
bertweet_en_strict_s42,strict,nationality_immigration,12,0.0,0.0441,-0.0441,0.0059
bertweet_en_strict_s42,strict,disability,11,0.0,0.0441,-0.0441,0.0073
sbert_lgbm_strict_s42,strict,gender,307,0.2085,0.079,0.1294,0.2021
sbert_lgbm_strict_s42,strict,sexual_orientation,117,0.2137,0.079,0.1347,0.2068
sbert_lgbm_strict_s42,strict,race_ethnicity,111,0.1171,0.079,0.0381,0.1329
sbert_lgbm_strict_s42,strict,religion,145,0.2069,0.079,0.1279,0.2048
sbert_lgbm_strict_s42,strict,nationality_immigration,31,0.3548,0.079,0.2758,0.2776
sbert_lgbm_strict_s42,strict,disability,13,0.0,0.079,-0.079,0.1201
sbert_logreg_strict_s42,strict,gender,307,0.3583,0.131,0.2273,0.5428
sbert_logreg_strict_s42,strict,sexual_orientation,117,0.2906,0.131,0.1596,0.5572
sbert_logreg_strict_s42,strict,race_ethnicity,111,0.2342,0.131,0.1033,0.4707
sbert_logreg_strict_s42,strict,religion,145,0.2897,0.131,0.1587,0.5248
sbert_logreg_strict_s42,strict,nationality_immigration,31,0.4839,0.131,0.3529,0.6294
