family,config,policy,n_seeds,macro_f1_mean,macro_f1_std,recall_hate_mean,recall_hate_std
neural,bertimbau_pt,broad,1,0.835,,0.7989,
neural,twitter_xlmr,broad,1,0.7658,,0.6481,
neural,xlmr_multilingual,broad,1,0.7635,,0.6288,
neural,bertweet_en,broad,1,0.7529,,0.5677,
classical,tfidf_logreg_nostop,broad,1,0.7468,,0.6442,
classical,tfidf_logreg,broad,1,0.7459,,0.6558,
classical,tfidf_lgbm_nostop,broad,1,0.73,,0.6346,
classical,tfidf_svm,broad,1,0.7288,,0.6428,
classical,tfidf_lgbm,broad,1,0.7246,,0.5755,
classical,tfidf_svm_nostop,broad,1,0.7216,,0.6625,
classical,sbert_lgbm,broad,1,0.721,,0.6702,
classical,sbert_logreg,broad,1,0.7192,,0.6519,
neural,bertimbau_pt,strict,1,0.7841,,0.6469,
neural,twitter_xlmr,strict,1,0.7487,,0.5205,
neural,xlmr_multilingual,strict,1,0.7425,,0.5176,
classical,tfidf_logreg,strict,1,0.7293,,0.5044,
classical,tfidf_logreg_nostop,strict,1,0.7247,,0.5323,
classical,tfidf_lgbm,strict,1,0.7114,,0.4956,
neural,bertweet_en,strict,1,0.7077,,0.4451,
classical,tfidf_lgbm_nostop,strict,1,0.7057,,0.4765,
classical,tfidf_svm,strict,1,0.6967,,0.4736,
classical,tfidf_svm_nostop,strict,1,0.6928,,0.4428,
classical,sbert_lgbm,strict,1,0.6778,,0.437,
classical,sbert_logreg,strict,1,0.6618,,0.5279,
