trial,val_macro_f1,profile,strip_accents,word_ngram,word_min_df,word_max_features,char_ngram,char_min_df,char_max_features,sublinear_tf,binary,C,penalty,class_weight
41,0.7119299631365357,heavy,,"[1, 2]",3,50000,"[3, 5]",5,30000,True,False,1.3690591669503553,l1,
39,0.709821589798854,heavy,,"[1, 2]",3,50000,"[3, 5]",5,30000,True,False,1.5719398888158187,l1,
55,0.7093696634618533,heavy,,"[1, 2]",3,50000,"[3, 5]",5,30000,True,False,0.7781932065441144,l1,balanced
62,0.7092263790557882,heavy,,"[1, 2]",5,200000,"[3, 6]",5,50000,True,True,1.4003440354087693,l1,
47,0.7083609813744066,heavy,,"[1, 2]",2,50000,"[3, 5]",5,50000,True,False,1.5153066288104784,l1,balanced
65,0.7071794555842386,heavy,,"[1, 2]",5,200000,"[3, 6]",5,50000,True,True,0.9174638264716538,l1,
64,0.7063738970026271,heavy,,"[1, 2]",5,200000,"[3, 6]",5,50000,True,True,0.94734263669525,l1,
18,0.7063446516818109,heavy,unicode,"[1, 2]",2,50000,"[3, 5]",5,200000,False,False,0.9182143202081623,l1,balanced
67,0.705199931230316,heavy,,"[1, 2]",4,200000,"[2, 4]",3,50000,True,True,0.7830885331259825,l1,
59,0.7048993906488803,heavy,,"[1, 2]",4,200000,"[3, 6]",5,200000,True,False,1.1033632079492945,l1,
56,0.7043659847840085,heavy,,"[1, 2]",4,200000,"[3, 5]",5,30000,True,False,1.0122682462426782,l1,
40,0.7039572212577927,heavy,,"[1, 2]",2,50000,"[3, 5]",5,30000,True,False,1.069250454628479,l1,
16,0.7039273159387354,heavy,unicode,"[1, 2]",3,50000,"[3, 5]",4,200000,True,False,0.6174826392707344,l1,balanced
60,0.7031685952861172,heavy,,"[1, 2]",3,200000,"[3, 6]",5,200000,True,False,1.5985136584938662,l2,
17,0.7031516626761813,heavy,unicode,"[1, 2]",3,50000,"[3, 5]",4,200000,True,True,1.7030208717403237,l1,balanced
3,0.7026980918913937,light,,"[1, 2]",5,50000,"[3, 5]",4,200000,True,False,0.47262856955361526,l2,balanced
0,0.7023031976047356,light,,"[1, 2]",3,50000,"[3, 5]",3,50000,True,False,1.0,l2,balanced
76,0.7023031976047356,heavy,,"[1, 2]",2,50000,"[3, 5]",4,50000,True,False,1.186085172556268,l2,balanced
58,0.7016250187284118,light,,"[1, 2]",2,50000,"[3, 5]",5,200000,True,False,1.4990736396007596,l1,balanced
36,0.7010301989987787,light,,"[1, 2]",5,50000,"[3, 5]",4,200000,True,False,1.0536014148965922,l2,
11,0.7010301989987787,light,unicode,"[1, 2]",2,50000,"[3, 5]",2,50000,True,True,0.2576050850261818,l2,balanced
23,0.7008238096375783,heavy,unicode,"[1, 2]",1,50000,"[3, 5]",5,200000,False,False,2.380456554638774,l1,
57,0.700734986931347,heavy,unicode,"[1, 2]",1,50000,"[2, 4]",5,200000,False,False,0.4585487392586001,l1,balanced
33,0.700734986931347,light,,"[1, 2]",5,100000,"[3, 5]",5,200000,True,False,0.32942291303041105,l2,balanced
34,0.6999294283497355,heavy,unicode,"[1, 2]",4,30000,"[2, 5]",3,200000,True,False,1.9383483929121939,l1,balanced
30,0.6997070045605909,heavy,unicode,"[1, 2]",4,50000,"[3, 5]",5,200000,True,True,1.5355095797907805,l2,balanced
68,0.699024253605323,heavy,,"[1, 3]",5,50000,"[3, 6]",5,50000,True,True,2.766177698477401,l1,
46,0.6988416068792092,heavy,,"[1, 2]",3,50000,"[3, 5]",5,30000,True,False,2.1007075914228817,l2,
12,0.6985283596598564,light,,"[1, 2]",5,50000,"[3, 6]",2,200000,True,False,1.6075560459299003,l2,balanced
32,0.6978777662163667,heavy,,"[1, 2]",2,50000,"[2, 5]",5,200000,False,False,2.369251095925766,l1,balanced
78,0.6978777662163667,heavy,,"[1, 2]",5,200000,"[3, 6]",5,50000,True,True,0.6249427941186557,l2,
10,0.697694413213549,light,,"[1, 1]",4,50000,"[2, 5]",5,200000,True,False,0.3690704056824102,l2,balanced
38,0.697694413213549,heavy,unicode,"[1, 2]",1,50000,"[3, 5]",4,50000,False,False,3.2020641433459467,l2,balanced
71,0.697110811516446,heavy,,"[1, 3]",4,200000,"[3, 6]",4,50000,True,True,0.25798587432211184,l2,
19,0.697110811516446,heavy,unicode,"[1, 2]",2,30000,"[3, 5]",4,30000,False,False,0.46993132191047243,l1,balanced
43,0.6969975318414442,heavy,,"[1, 2]",2,50000,"[3, 6]",5,30000,True,False,0.8754654516187615,l1,
31,0.6968604667672414,light,,"[1, 2]",5,50000,"[3, 5]",3,200000,True,True,0.19679908638434265,l2,balanced
